Variety_F1	Inbred_maternal	ID.maternal	Inbred_paternal	ID.paternal	Era.maternal	Era.paternal	Time	N	E
Jidan28	Huangyesi3	6104	Huotanghuang17	6105	CN_1980s	CN_1980s	1994	118.235469	39.623964
Baidan9	ZaC546	8456	Ji63	6129	CN_1980s	CN_1970s	1985	122.810396	45.625263
Sidan10	Xi14	8478	Ji63	6129	CN_1980s	CN_1970s	1992	124.378932	43.184362
Shandan911	K12	6119	K14	10745	CN_1990s	CN_1990s	1995	108.075936	34.270661
HybridR	KWS8855M	10775	KWS8855F	10774	CN_2010s	CN_2010s	2011	126.750456	48.055132
Longdan13	K10	6122	Longkang11	6108	CN_1990s	CN_1990s	1994	126.630963	45.693577
Jingzao7	Huangzaosi	6141	Luosu3	10796	CN_1970s	CN_1970s	1975	116.334319	39.966783
Danyu9	334_1	10720	Lv28	6099	CN_1970s	CN_1960s	1974	124.125131	40.478806
Danyu11	Mo17	Mo17	Lv9kuan	6126	Public_US	CN_1970s	1976	124.125131	40.478806
Tiedan8	Tie7922	8477	Lv9kuan	6126	CN_1980s	CN_1970s	1989	123.815276	42.253768
Zhongke4	ZhongKe4M	6151	Lx9801	6121	CN_2000s	CN_2000s	2004	113.664066	34.793629
Ludan981	Qi319	6110	Lx9801	6121	CN_1990s	CN_2000s	2002	117.07618	36.706324
Jidan101	Ji63	6129	M14	12045	CN_1970s	Public_US	1978	124.816356	43.519219
Changdan4	Chang3	6127	M14	12045	CN_1970s	Public_US	1970	125.247588	43.943222
Sidan16	446	8436	Mo17	Mo17	CN_1980s	Public_US	1988	124.378932	43.184362
Yandan14	Huangzaosi	6141	Mo17	Mo17	CN_1970s	Public_US	1982	121.285945	37.493328
Benyu9	7884_7Ht	6103	Mo17	Mo17	CN_1980s	Public_US	1989	124.108662	41.25495
Sidan19	444	6118	Mo17	Mo17	CN_1990s	Public_US	1995	124.378932	43.184362
Hudan1	Huangzaosi	6141	Mo17	Mo17	CN_1970s	Public_US	1981	108.610115	34.126037
Shandan9	Wu109	6096	Mo17	Mo17	CN_1970s	Public_US	1976	108.075936	34.270661
Sidan8	Xi14	8478	Mo17	Mo17	CN_1980s	Public_US	1981	124.378932	43.184362
Yidan2	Chang72	8446	Mo17	Mo17	CN_1980s	Public_US	1982	111.216856	30.481258
Nongda3138	Zong31	6098	P138	6112	CN_1980s	CN_1990s	1996	116.289132	40.031606
HybridQ	PH11V8	10806	PH12TB	10773	CN_2010s	CN_2010s	2014	123.815276	42.253768
HybridB	PH6WC	10762	PH4CV	11637	CN_2000s	CN_2000s	2004	123.844962	42.294364
HybridD	PH6WC	10762	PHB1M	10804	CN_2000s	CN_2000s	2006	123.815276	42.253768
Shendan10	Shen137	6111	Q1261	6138	CN_1990s	CN_1990s	1998	123.455439	41.907587
Chengdan18	698_3	6109	Qi205	6134	CN_1990s	CN_1990s	1997	104.114502	30.62871
Ludan50	Luyuan92	6124	Qi319	6110	CN_1990s	CN_1990s	1998	117.07618	36.706324
Yayu2	Tie7922	8477	S37	6130	CN_1980s	CN_1990s	1993	102.995344	30.003968
Huayu4	HZ85	8455	S7913	10780	CN_1990s	CN_1990s	1998	114.37004	30.483722
Shendan16	K12	6119	Shen137	6111	CN_1990s	CN_1990s	2001	123.561353	41.828116
Yedan51	832	8445	Shuang741	10759	CN_1990s	CN_1990s	1995	120.001344	37.190401
Jindan1	Hua160	12053	Tai184	10719	CN_1960s	CN_1960s	1966	113.153178	36.219506
Simi25	81162	6101	Tie7922	8477	CN_1990s	CN_1980s	1996	124.378932	43.184362
Luyuandan4	Yuanwu02	10734	Weifeng322	10744	CN_1970s	CN_1970s	1974	117.07618	36.706324
HybridL	WeiKe702M	6146	WeiKe702F	6145	CN_2010s	CN_2010s	2012	113.540601	34.804149
Yandan17	Ye107	6135	Wenhuang31413	8443	CN_1980s	CN_1990s	1992	121.285945	37.493328
Chengdan4	Oh43	8453	Xinaiguang10	10716	Public_US	CN_1980s	1985	104.114502	30.62871
Jingza6	Zi330	8480	Xu052	10709	CN_1960s	CN_1970s	1974	116.299977	40.048068
Xundan20	9058	6106	Xun92_8	6139	CN_2000s	CN_2000s	2003	114.324638	35.721774
Huidan4	Suwan1611	8449	Ye107	6135	CN_1990s	CN_1980s	1992	103.550479	26.725447
Yedan20	Ye8001	8462	Ye502	10765	CN_1990s	CN_1980s	1994	120.001344	37.190401
Xiyu3	478	Ye478	Ye502	10765	CN_1990s	CN_1980s	1995	120.007466	37.363195
Yedan11	5003	5003	Ye52106	8448	CN_1980s	CN_1990s	1992	120.001344	37.190401
Yedan19	478	Ye478	Ye52106	8448	CN_1990s	CN_1990s	1998	120.001344	37.190401
HybridM	YuYu30M	6150	YuYu30F	6149	CN_2010s	CN_2010s	2013	117.07618	36.706324
Nendan3	Diangu11A	10730	Zaodahuang	10727	CN_1970s	CN_1970s	1977	125.231998	49.17963
Zhengdan14	478	Ye478	Zheng22	6133	CN_1990s	CN_1990s	1996	113.68467	34.793804
Yuyu18	478	Ye478	Zheng22	6133	CN_1990s	CN_1990s	1996	113.68467	34.793804
Jidan131	Ji63	6129	Zi330	8480	CN_1970s	CN_1960s	1987	124.816356	43.519219
Danyu6	Lv28	6099	Zi330	8480	CN_1960s	CN_1960s	1968	124.125131	40.478806
Tiedan4	Ji63	6129	Zi330	8480	CN_1970s	CN_1960s	1981	123.815276	42.253768
Zhongdan2	Mo17	Mo17	Zi330	8480	Public_US	CN_1960s	1973	116.334319	39.966783
Shendan3	Baihe43	10721	Zi330	8480	CN_1970s	CN_1960s	1974	123.561353	41.828116
Jidan156	Ji842	8476	Zi330	8480	CN_1990s	CN_1960s	1992	124.816356	43.519219
Nongda60	5005	6102	Zong31	6098	CN_1980s	CN_1980s	1988	116.289132	40.031606
