ID	Variety	Variety_Rename	Maternal	Paternal	Time	N	E	ASI	DTA	DTS	PH	EH	EP	LL	LW	TL	TBN	LAL	LAU
39	Danyu15	Danyu15	Mo17	Dan340	1987	124.13	40.48	2.3	58.3	60.5	297.5	137.9	46.3	93	10.49	40.7	15.6	154.7	27.7
40	Nongda60	Nongda60	5005	Zong31	1988	116.29	40.03	2	58	60	301.5	126.2	41.9	91.7	10.78	44.5	17	159.7	22.3
41	Tangkang5	Tangkang5	Huangyesi3	Huotanghuang17	1988	118.24	39.62	2	57	59	272.8	123.6	45.3	89.8	10.32	37.8	16.1	164.5	18.6
42	Yedan4	Yedan4	8112	Huangzaosi	1988	120	37.19	2.5	55.8	58.3	318.8	143.2	44.9	96.9	9.76	36.2	22.5	170.4	12.1
43	Sidan16	Sidan16	446	Mo17	1988	124.38	43.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	Benyu9	Benyu9	7884_7Ht	Mo17	1989	124.11	41.25	3.5	57.5	61	303.7	143.1	47.1	102.2	10.81	42.3	11.5	153.4	32.5
45	Miandan1	Miandan1	Nan21_3	81565	1989	105.86	31.12	3	60.5	63.5	326.7	169.5	51.9	98.8	10.17	38.1	21.9	157.1	25.1
46	Tiedan8	Tiedan8	Tie7922	Lv9kuan	1989	123.82	42.25	1.8	62	63.8	366.3	180.3	49.2	95.4	10.58	34.3	17.1	163.6	21.6
47	Tiedan9	Tiedan9	Tie7922	Dan340	1989	123.82	42.25	2.3	59.5	61.8	361.7	179.3	49.6	99.1	10.31	35.8	13.6	164.4	21.1
48	Yuyu5	Yuyu5	Jing7	8112	1989	114.09	35.39	1.8	59	60.8	316.1	155.7	49.3	93.3	9.77	35.7	12.6	171.3	10.6
49	Luyu10	Luyu10	8112	H21	1989	120.73	36.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	Longdan8	Longdan8	Hai014	Chang3	1990	126.63	45.69	1.3	53	54.3	303.4	144.3	47.5	78.1	9.33	42.1	12.1	155.5	28.3
51	Shendan7	Shendan7	5003	E28	1991	123.46	41.91	3.5	60	63.5	263.8	120.8	45.8	83.2	10.62	31.5	25.9	160.2	21.3
52	Chengdan13	Chengdan13	Mo17	3H_2	1992	104.12	30.62	3.8	62.5	66.3	282.1	132.3	47	81.4	10.11	35.7	16.3	160.9	20.3
53	Chuandan9	Chuandan9	48_2	5003	1992	103.01	29.98	1.8	60.8	62.5	281.8	130.1	46.2	91.7	9.85	43.2	16.5	156.7	26.8
54	Hudan4	Hudan4	Tian4	803	1992	108.61	34.13	1.5	57	58.5	271.5	130.9	48.2	89.6	10.89	37	18.4	163.5	21.8
55	Huidan4	Huidan4	Suwan1611	Ye107	1992	103.55	26.73	0	59	59	296	129.6	43.8	89.2	9.62	38.2	10.1	162.6	21.1
56	Jidan156	Jidan156	Ji842	Zi330	1992	124.82	43.52	3.3	55.5	58.8	295.6	120.1	40.7	94.6	11.04	41.3	18.8	145.8	38.8
57	Sidan10	Sidan10	Xi14	Ji63	1992	124.38	43.18	1.5	56.8	58.3	290.4	125.8	43.4	90.1	11.39	39.4	16.1	146.4	35
58	Sizao6	Sizao6	434	4F1	1992	124.38	43.18	2	53	55	278	105.7	37.9	92.8	10.3	41.2	15.4	151.5	32.3
59	Yandan17	Yandan17	Ye107	Wenhuang31413	1992	121.29	37.49	2.3	55.8	58	276.8	110.9	40.1	88.6	10.49	38.3	11.8	164.3	20.1
60	Yedan11	Yedan11	5003	Ye52106	1992	120	37.19	3.5	59.3	62.8	312.3	160.3	51.3	88.4	12.59	42.8	24.6	167.1	15.5
61	Yedan13	Yedan13	478	Dan340	1992	120	37.19	1	60.8	61.8	323.4	156.2	48.3	99.8	11	40.3	23.4	167.1	15.9
62	Chengdan14	Chengdan14	32	200B	1993	104.11	30.63	2.8	57.5	60.3	323.1	148.1	45.7	88.8	10.31	40.4	15.4	161.7	17.8
63	Yayu2	Yayu2	Tie7922	S37	1993	103	30	0.5	62.3	62.8	377	203.3	53.9	90.6	11.5	37.8	11.4	159.5	25.9
64	Yedan12	Yedan12	478	515	1993	120	37.19	1.5	58.8	60.3	304.1	143.2	47.1	92.5	10.58	38.8	16.9	169.6	12.4
