Type,value,sd,trait,treatment
NnzSnp,1256.476807,1501.698364,asv_001052,HN
SigmaSq,1e-06,1e-06,asv_001052,HN
S,-0.821275,1.220703,asv_001052,HN
ResVar,0.002374,0.00112,asv_001052,HN
GenVar,0.001159,0.001106,asv_001052,HN
hsq,0.327309,0.309865,asv_001052,HN
Pi,0.002144,0.002117,asv_001057,HN
NnzSnp,1605.477417,1585.212891,asv_001057,HN
SigmaSq,0,1e-06,asv_001057,HN
S,0.065221,0.780506,asv_001057,HN
ResVar,0.002879,0.000368,asv_001057,HN
GenVar,0.000143,0.000231,asv_001057,HN
hsq,0.047443,0.075983,asv_001057,HN
Pi,0.0019,0.001981,asv_001140,HN
NnzSnp,1422.049438,1484.102417,asv_001140,HN
SigmaSq,0,0,asv_001140,HN
S,0.025766,0.896341,asv_001140,HN
ResVar,1e-05,2e-06,asv_001140,HN
GenVar,1e-06,1e-06,asv_001140,HN
hsq,0.056134,0.116646,asv_001140,HN
Pi,0.000476,0.001724,asv_001141,HN
NnzSnp,355.824463,1291.927612,asv_001141,HN
SigmaSq,0,0,asv_001141,HN
S,-2.432624,0.886373,asv_001141,HN
ResVar,1.6e-05,3.3e-05,asv_001141,HN
GenVar,0.000105,3.3e-05,asv_001141,HN
hsq,0.86996,0.273265,asv_001141,HN
Pi,0.003299,0.002786,asv_001167,HN
NnzSnp,2470.94043,2087.137695,asv_001167,HN
SigmaSq,0,0,asv_001167,HN
S,-0.524259,0.772035,asv_001167,HN
ResVar,0.000806,0.000333,asv_001167,HN
GenVar,0.000363,0.000325,asv_001167,HN
hsq,0.310313,0.274849,asv_001167,HN
Pi,0.002485,0.00227,asv_001169,HN
NnzSnp,1860.99939,1700.48645,asv_001169,HN
SigmaSq,4e-06,5e-06,asv_001169,HN
S,-0.371841,0.902589,asv_001169,HN
ResVar,0.01956,0.006016,asv_001169,HN
GenVar,0.004658,0.005741,asv_001169,HN
hsq,0.191995,0.234644,asv_001169,HN
Pi,0.002289,0.002132,asv_001207,HN
NnzSnp,1714.02124,1596.783203,asv_001207,HN
SigmaSq,0,0,asv_001207,HN
S,-0.098568,0.851914,asv_001207,HN
ResVar,0.000234,5.3e-05,asv_001207,HN
GenVar,3.4e-05,4.8e-05,asv_001207,HN
hsq,0.127723,0.176903,asv_001207,HN
Pi,0.002125,0.002123,asv_001232,HN
NnzSnp,1591.465454,1590.085327,asv_001232,HN
SigmaSq,1e-06,1e-06,asv_001232,HN
S,-0.054402,0.884457,asv_001232,HN
ResVar,0.004793,0.000816,asv_001232,HN
GenVar,0.000413,0.000664,asv_001232,HN
hsq,0.079336,0.126722,asv_001232,HN
Pi,0.003196,0.00275,asv_001244,HN
NnzSnp,2393.82959,2059.203857,asv_001244,HN
SigmaSq,2e-06,3e-06,asv_001244,HN
S,-0.53903,0.825082,asv_001244,HN
ResVar,0.008175,0.003007,asv_001244,HN
GenVar,0.002924,0.002924,asv_001244,HN
hsq,0.262997,0.260693,asv_001244,HN
Pi,0.00306,0.002544,asv_001255,HN
NnzSnp,2291.861572,1905.774536,asv_001255,HN
SigmaSq,1e-06,1e-06,asv_001255,HN
S,-0.474852,0.801145,asv_001255,HN
ResVar,0.001471,0.000443,asv_001255,HN
GenVar,0.000493,0.000429,asv_001255,HN
hsq,0.250158,0.214645,asv_001255,HN
Pi,0.003046,0.002622,asv_001276,HN
NnzSnp,2281.392822,1963.651123,asv_001276,HN
SigmaSq,7e-06,1.1e-05,asv_001276,HN
S,-0.255961,0.855041,asv_001276,HN
ResVar,0.019699,0.005879,asv_001276,HN
GenVar,0.005152,0.005603,asv_001276,HN
hsq,0.207027,0.222672,asv_001276,HN
Pi,0.002192,0.002014,asv_001292,HN
NnzSnp,1641.310791,1508.608521,asv_001292,HN
SigmaSq,2e-06,2e-06,asv_001292,HN
S,0.201053,0.831444,asv_001292,HN
ResVar,0.007405,0.000966,asv_001292,HN
GenVar,0.000386,0.000632,asv_001292,HN
hsq,0.049571,0.080501,asv_001292,HN
Pi,0.001093,0.001423,asv_001294,HN
NnzSnp,817.77179,1065.85791,asv_001294,HN
SigmaSq,0,0,asv_001294,HN
S,0.754537,0.797843,asv_001294,HN
ResVar,0,0,asv_001294,HN
GenVar,0,0,asv_001294,HN
hsq,0.00534,0.006063,asv_001294,HN
Pi,0.00257,0.002689,asv_001303,HN
NnzSnp,1924.097046,2014.099976,asv_001303,HN
SigmaSq,0,0,asv_001303,HN
S,0.115913,0.871569,asv_001303,HN
ResVar,0.000953,0.000142,asv_001303,HN
GenVar,6.1e-05,0.000105,asv_001303,HN
hsq,0.060659,0.103488,asv_001303,HN
Pi,0.002129,0.002134,asv_001312,HN
NnzSnp,1594.36084,1598.071289,asv_001312,HN
SigmaSq,0,0,asv_001312,HN
S,0.041028,0.854401,asv_001312,HN
ResVar,2e-06,0,asv_001312,HN
GenVar,0,0,asv_001312,HN
hsq,0.054985,0.102276,asv_001312,HN
Pi,0.00218,0.002251,asv_001319,HN
NnzSnp,1632.347656,1685.852173,asv_001319,HN
SigmaSq,3e-06,4e-06,asv_001319,HN
S,0.092634,0.805258,asv_001319,HN
ResVar,0.013933,0.001991,asv_001319,HN
GenVar,0.000825,0.001427,asv_001319,HN
hsq,0.055998,0.096346,asv_001319,HN
Pi,0.002857,0.002638,asv_001323,HN
NnzSnp,2139.766357,1976.459106,asv_001323,HN
SigmaSq,5e-06,1e-05,asv_001323,HN
S,-0.123152,0.827989,asv_001323,HN
ResVar,0.021642,0.004335,asv_001323,HN
GenVar,0.002776,0.003761,asv_001323,HN
hsq,0.113824,0.152905,asv_001323,HN
Pi,0.002363,0.002245,asv_001347,HN
NnzSnp,1769.300781,1680.917358,asv_001347,HN
SigmaSq,0,1e-06,asv_001347,HN
S,0.215618,0.799143,asv_001347,HN
ResVar,0.002816,0.000356,asv_001347,HN
GenVar,0.000105,0.000222,asv_001347,HN
hsq,0.03598,0.07545,asv_001347,HN
Pi,9.9e-05,0.000359,asv_001416,HN
NnzSnp,72.830025,269.216553,asv_001416,HN
SigmaSq,0,0,asv_001416,HN
S,-2.593276,0.302959,asv_001416,HN
ResVar,3e-06,5e-06,asv_001416,HN
GenVar,5.6e-05,5e-06,asv_001416,HN
hsq,0.956273,0.085393,asv_001416,HN
Pi,0.00196,0.001963,asv_001444,HN
NnzSnp,1468.077637,1470.844116,asv_001444,HN
SigmaSq,0,0,asv_001444,HN
S,-0.050585,0.798992,asv_001444,HN
ResVar,2e-06,0,asv_001444,HN
GenVar,0,0,asv_001444,HN
hsq,0.079381,0.117671,asv_001444,HN
Pi,0.002329,0.00224,asv_001446,HN
NnzSnp,1744.218018,1677.745605,asv_001446,HN
SigmaSq,0,0,asv_001446,HN
S,0.005196,0.77015,asv_001446,HN
ResVar,0.000254,3.9e-05,asv_001446,HN
GenVar,1.9e-05,3e-05,asv_001446,HN
hsq,0.068604,0.110169,asv_001446,HN
Pi,0.001932,0.002293,asv_001448,HN
NnzSnp,1446.394653,1717.885498,asv_001448,HN
SigmaSq,7e-06,1.2e-05,asv_001448,HN
S,-0.150539,1.120135,asv_001448,HN
ResVar,0.037844,0.009101,asv_001448,HN
GenVar,0.004389,0.008325,asv_001448,HN
hsq,0.103797,0.195868,asv_001448,HN
Pi,0.00271,0.002458,asv_001499,HN
NnzSnp,2028.728638,1840.458618,asv_001499,HN
SigmaSq,0,0,asv_001499,HN
S,-0.062103,0.900405,asv_001499,HN
ResVar,0.001701,0.000328,asv_001499,HN
GenVar,0.000183,0.000283,asv_001499,HN
hsq,0.096947,0.149052,asv_001499,HN
Pi,0.001479,0.001788,asv_001507,HN
NnzSnp,1107.128418,1338.960693,asv_001507,HN
SigmaSq,2e-06,2e-06,asv_001507,HN
S,-0.10936,1.237031,asv_001507,HN
ResVar,0.008419,0.00228,asv_001507,HN
GenVar,0.001217,0.00214,asv_001507,HN
hsq,0.125981,0.22015,asv_001507,HN
Pi,0.000432,0.00165,asv_001529,HN
NnzSnp,322.844513,1236.474243,asv_001529,HN
SigmaSq,0,0,asv_001529,HN
S,-2.550125,0.480689,asv_001529,HN
ResVar,7.4e-05,0.000102,asv_001529,HN
GenVar,0.001125,0.000111,asv_001529,HN
hsq,0.938315,0.086814,asv_001529,HN
Pi,0.001908,0.001986,asv_001572,HN
NnzSnp,1428.234375,1487.538208,asv_001572,HN
SigmaSq,0,0,asv_001572,HN
S,0.188277,0.926306,asv_001572,HN
ResVar,0.000757,0.000114,asv_001572,HN
GenVar,4.5e-05,8.7e-05,asv_001572,HN
hsq,0.05569,0.108164,asv_001572,HN
Pi,0.002501,0.00245,asv_001582,HN
NnzSnp,1872.433838,1834.904785,asv_001582,HN
SigmaSq,0,0,asv_001582,HN
S,0.248352,0.959187,asv_001582,HN
ResVar,0.000959,0.000158,asv_001582,HN
GenVar,7.3e-05,0.000128,asv_001582,HN
hsq,0.071048,0.122268,asv_001582,HN
Pi,0.000154,0.000551,asv_001649,HN
NnzSnp,114.1577,413.382355,asv_001649,HN
SigmaSq,2e-06,3e-06,asv_001649,HN
S,-2.560139,0.523056,asv_001649,HN
ResVar,0.001642,0.002427,asv_001649,HN
GenVar,0.012181,0.002458,asv_001649,HN
hsq,0.881247,0.17405,asv_001649,HN
Pi,0.002692,0.002647,asv_001657,HN
NnzSnp,2015.953857,1983.294922,asv_001657,HN
SigmaSq,0,0,asv_001657,HN
S,-0.401985,0.935854,asv_001657,HN
ResVar,3.1e-05,1.1e-05,asv_001657,HN
GenVar,1e-05,1.1e-05,asv_001657,HN
hsq,0.236785,0.264914,asv_001657,HN
Pi,8.5e-05,0.000151,asv_001659,HN
NnzSnp,62.484177,113.076256,asv_001659,HN
SigmaSq,1e-06,1e-06,asv_001659,HN
S,-2.588035,0.363907,asv_001659,HN
ResVar,0.00069,0.000461,asv_001659,HN
GenVar,0.004384,0.000516,asv_001659,HN
hsq,0.863755,0.091366,asv_001659,HN
Pi,0.002788,0.002515,asv_001660,HN
NnzSnp,2087.769043,1883.17688,asv_001660,HN
SigmaSq,2e-06,4e-06,asv_001660,HN
S,-0.154952,0.828093,asv_001660,HN
ResVar,0.005916,0.001505,asv_001660,HN
GenVar,0.000951,0.001396,asv_001660,HN
hsq,0.138403,0.201211,asv_001660,HN
Pi,0.001853,0.001748,asv_001667,HN
NnzSnp,1387.031372,1309.289185,asv_001667,HN
SigmaSq,0,0,asv_001667,HN
S,0.077171,0.816261,asv_001667,HN
ResVar,0.002463,0.000293,asv_001667,HN
GenVar,7.6e-05,0.000169,asv_001667,HN
hsq,0.029673,0.065414,asv_001667,HN
Pi,0.002484,0.002305,asv_001749,HN
NnzSnp,1859.380981,1725.859985,asv_001749,HN
SigmaSq,0,0,asv_001749,HN
S,-0.05135,0.908557,asv_001749,HN
ResVar,0.000518,0.00012,asv_001749,HN
GenVar,6.8e-05,0.000108,asv_001749,HN
hsq,0.115611,0.1835,asv_001749,HN
Pi,0.002349,0.002284,asv_001772,HN
NnzSnp,1758.569214,1710.177002,asv_001772,HN
SigmaSq,1e-06,1e-06,asv_001772,HN
S,-0.175324,0.908763,asv_001772,HN
ResVar,0.004517,0.000841,asv_001772,HN
GenVar,0.000471,0.000708,asv_001772,HN
hsq,0.094673,0.141093,asv_001772,HN
Pi,0.002704,0.002432,asv_001806,HN
NnzSnp,2024.82959,1821.292847,asv_001806,HN
SigmaSq,0,0,asv_001806,HN
S,-0.61351,0.743578,asv_001806,HN
ResVar,8e-06,3e-06,asv_001806,HN
GenVar,3e-06,3e-06,asv_001806,HN
hsq,0.289193,0.272198,asv_001806,HN
Pi,0.001201,0.001858,asv_001834,HN
NnzSnp,898.487305,1392.091919,asv_001834,HN
SigmaSq,6e-06,1e-05,asv_001834,HN
S,-1.040397,1.408302,asv_001834,HN
ResVar,0.014279,0.008709,asv_001834,HN
GenVar,0.009239,0.008604,asv_001834,HN
hsq,0.392647,0.363902,asv_001834,HN
Pi,0.002351,0.002241,asv_001840,HN
NnzSnp,1760.547241,1678.872437,asv_001840,HN
SigmaSq,1e-06,1e-06,asv_001840,HN
S,-0.014989,0.813032,asv_001840,HN
ResVar,0.002665,0.000464,asv_001840,HN
GenVar,0.000228,0.00038,asv_001840,HN
hsq,0.079022,0.130733,asv_001840,HN
Pi,0.002211,0.002058,asv_001875,HN
NnzSnp,1655.924072,1541.675537,asv_001875,HN
SigmaSq,2e-06,3e-06,asv_001875,HN
S,0.252014,0.765845,asv_001875,HN
ResVar,0.009049,0.001082,asv_001875,HN
GenVar,0.000411,0.000611,asv_001875,HN
hsq,0.043459,0.064,asv_001875,HN
Pi,0.000906,0.001552,asv_001888,HN
NnzSnp,678.161621,1162.548706,asv_001888,HN
SigmaSq,1e-06,4e-06,asv_001888,HN
S,-1.193031,1.57216,asv_001888,HN
ResVar,0.001643,0.001252,asv_001888,HN
GenVar,0.001414,0.00124,asv_001888,HN
hsq,0.462661,0.404077,asv_001888,HN
Pi,6.3e-05,1.5e-05,asv_001978,HN
NnzSnp,46.331001,9.08636,asv_001978,HN
SigmaSq,1.4e-05,2.2e-05,asv_001978,HN
S,-2.522615,0.221156,asv_001978,HN
ResVar,0.004443,0.001235,asv_001978,HN
GenVar,0.077373,0.002832,asv_001978,HN
hsq,0.945671,0.01509,asv_001978,HN
Pi,0.001324,0.001809,asv_002136,HN
NnzSnp,990.689087,1355.182739,asv_002136,HN
SigmaSq,0,0,asv_002136,HN
S,-0.909959,1.24238,asv_002136,HN
ResVar,1.5e-05,5e-06,asv_002136,HN
GenVar,5e-06,5e-06,asv_002136,HN
hsq,0.22905,0.254492,asv_002136,HN
Pi,0.000604,0.000918,asv_002138,HN
NnzSnp,451.858185,687.352173,asv_002138,HN
SigmaSq,0,0,asv_002138,HN
S,1.017751,0.847999,asv_002138,HN
ResVar,0,0,asv_002138,HN
GenVar,0,0,asv_002138,HN
hsq,0.00724,0.00735,asv_002138,HN
Pi,0.002373,0.002295,asv_002166,HN
NnzSnp,1776.96875,1719.076538,asv_002166,HN
SigmaSq,0,0,asv_002166,HN
S,-0.376262,1.047588,asv_002166,HN
ResVar,9.1e-05,3.2e-05,asv_002166,HN
GenVar,2.7e-05,3.1e-05,asv_002166,HN
hsq,0.225931,0.257702,asv_002166,HN
Pi,0.002234,0.002192,asv_002172,HN
NnzSnp,1673.051392,1642.226807,asv_002172,HN
SigmaSq,2e-06,2e-06,asv_002172,HN
S,0.088114,0.8967,asv_002172,HN
ResVar,0.014215,0.001878,asv_002172,HN
GenVar,0.000676,0.001258,asv_002172,HN
hsq,0.045466,0.083838,asv_002172,HN
Pi,0.002108,0.002091,asv_002205,HN
NnzSnp,1578.715942,1566.554688,asv_002205,HN
SigmaSq,0,0,asv_002205,HN
S,-0.03841,0.804834,asv_002205,HN
ResVar,0.002382,0.000359,asv_002205,HN
GenVar,0.000144,0.000271,asv_002205,HN
hsq,0.056829,0.106429,asv_002205,HN
Pi,0.000108,0.000331,asv_002309,HN
NnzSnp,80.188972,248.487274,asv_002309,HN
SigmaSq,1.1e-05,1.7e-05,asv_002309,HN
S,-2.460327,0.573782,asv_002309,HN
ResVar,0.00484,0.007087,asv_002309,HN
GenVar,0.038876,0.007204,asv_002309,HN
hsq,0.889313,0.160635,asv_002309,HN
Pi,0.002052,0.002305,asv_002353,HN
NnzSnp,1536.081787,1726.189209,asv_002353,HN
SigmaSq,0,0,asv_002353,HN
S,-0.210421,1.151858,asv_002353,HN
ResVar,0.000601,0.000181,asv_002353,HN
GenVar,0.000117,0.000172,asv_002353,HN
hsq,0.162174,0.238097,asv_002353,HN
Pi,0.002923,0.002439,asv_002354,HN
NnzSnp,2188.408447,1826.312012,asv_002354,HN
SigmaSq,0,0,asv_002354,HN
S,-0.416225,0.807416,asv_002354,HN
ResVar,0.000151,5.9e-05,asv_002354,HN
GenVar,6.6e-05,5.8e-05,asv_002354,HN
hsq,0.303012,0.261255,asv_002354,HN
Pi,0.00397,0.002569,asv_002358,HN
NnzSnp,2973.046387,1923.81311,asv_002358,HN
SigmaSq,4e-06,7e-06,asv_002358,HN
S,-0.867293,0.488451,asv_002358,HN
ResVar,0.002335,0.001336,asv_002358,HN
GenVar,0.004466,0.001383,asv_002358,HN
hsq,0.65566,0.195848,asv_002358,HN
Pi,8e-05,3.4e-05,asv_002692,HN
NnzSnp,59.119148,24.335207,asv_002692,HN
SigmaSq,2e-06,5e-06,asv_002692,HN
S,-2.513856,0.279133,asv_002692,HN
ResVar,0.001367,0.000568,asv_002692,HN
GenVar,0.00672,0.000689,asv_002692,HN
hsq,0.830733,0.07032,asv_002692,HN
Pi,0.002025,0.001934,asv_002742,HN
NnzSnp,1516.524048,1448.13855,asv_002742,HN
SigmaSq,2e-06,2e-06,asv_002742,HN
S,0.15898,0.786371,asv_002742,HN
ResVar,0.022612,0.002382,asv_002742,HN
GenVar,0.000481,0.00084,asv_002742,HN
hsq,0.020821,0.035977,asv_002742,HN
Pi,0.000499,0.00117,asv_002743,HN
NnzSnp,372.846954,876.516907,asv_002743,HN
SigmaSq,0,1e-06,asv_002743,HN
S,-1.871669,1.10997,asv_002743,HN
ResVar,0.000767,4e-04,asv_002743,HN
GenVar,0.000741,0.000401,asv_002743,HN
hsq,0.490444,0.260528,asv_002743,HN
Pi,0.000351,0.001408,asv_002768,HN
NnzSnp,262.409058,1054.800415,asv_002768,HN
SigmaSq,0,0,asv_002768,HN
S,-2.461765,0.709234,asv_002768,HN
ResVar,6.2e-05,0.000116,asv_002768,HN
GenVar,0.000497,0.000117,asv_002768,HN
hsq,0.88809,0.206764,asv_002768,HN
Pi,6.5e-05,1.3e-05,asv_002780,HN
NnzSnp,48.065575,7.012715,asv_002780,HN
SigmaSq,0,0,asv_002780,HN
S,-2.570807,0.216128,asv_002780,HN
ResVar,6e-06,1e-06,asv_002780,HN
GenVar,0.000191,5e-06,asv_002780,HN
hsq,0.970392,0.006186,asv_002780,HN
Pi,0.000363,0.001074,asv_002841,HN
NnzSnp,271.297211,804.664001,asv_002841,HN
SigmaSq,1e-06,2e-06,asv_002841,HN
S,-2.187683,1.144977,asv_002841,HN
ResVar,0.001564,0.002093,asv_002841,HN
GenVar,0.004911,0.002095,asv_002841,HN
hsq,0.758216,0.321228,asv_002841,HN
Pi,0.00291,0.002608,asv_003033,HN
NnzSnp,2178.949219,1953.30481,asv_003033,HN
SigmaSq,0,0,asv_003033,HN
S,-0.504896,0.864928,asv_003033,HN
ResVar,0.000493,0.000199,asv_003033,HN
GenVar,0.000229,0.000195,asv_003033,HN
hsq,0.316105,0.266982,asv_003033,HN
Pi,0.001632,0.001772,asv_003250,HN
NnzSnp,1221.353149,1326.306519,asv_003250,HN
SigmaSq,0,0,asv_003250,HN
S,-0.560598,1.217846,asv_003250,HN
ResVar,3.9e-05,1.6e-05,asv_003250,HN
GenVar,1.5e-05,1.6e-05,asv_003250,HN
hsq,0.269634,0.287258,asv_003250,HN
Pi,0.000374,0.000988,asv_003343,HN
NnzSnp,279.276398,739.935181,asv_003343,HN
SigmaSq,2e-06,3e-06,asv_003343,HN
S,-2.085068,1.033789,asv_003343,HN
ResVar,0.003185,0.002266,asv_003343,HN
GenVar,0.005294,0.002287,asv_003343,HN
hsq,0.623785,0.264618,asv_003343,HN
Pi,0.001391,0.001973,asv_004447,HN
NnzSnp,1040.57959,1477.015259,asv_004447,HN
SigmaSq,0,1e-06,asv_004447,HN
S,-0.626532,1.534682,asv_004447,HN
ResVar,0.001346,0.000613,asv_004447,HN
GenVar,0.000501,0.000598,asv_004447,HN
hsq,0.271274,0.322555,asv_004447,HN
Pi,0.002026,0.002015,asv_004714,HN
NnzSnp,1516.647949,1508.473267,asv_004714,HN
SigmaSq,0,0,asv_004714,HN
S,0.096622,0.784853,asv_004714,HN
ResVar,7e-06,1e-06,asv_004714,HN
GenVar,0,1e-06,asv_004714,HN
hsq,0.054715,0.091721,asv_004714,HN
Pi,0.000102,0.000559,asv_014370,HN
NnzSnp,75.282928,418.890167,asv_014370,HN
SigmaSq,0,0,asv_014370,HN
S,-2.530851,0.344002,asv_014370,HN
ResVar,1.1e-05,2.2e-05,asv_014370,HN
GenVar,0.000204,2.3e-05,asv_014370,HN
hsq,0.948603,0.102346,asv_014370,HN
Pi,0.002086,0.001623,asv_000001,LN
NnzSnp,1561.548218,1215.438354,asv_000001,LN
SigmaSq,3.7e-05,5.5e-05,asv_000001,LN
S,-0.57964,0.608963,asv_000001,LN
ResVar,0.02273,0.010579,asv_000001,LN
GenVar,0.018017,0.010582,asv_000001,LN
hsq,0.441201,0.25476,asv_000001,LN
Pi,0.001573,0.001703,asv_000009,LN
NnzSnp,1177.801636,1275.216309,asv_000009,LN
SigmaSq,2e-06,5e-06,asv_000009,LN
S,-0.034923,0.828699,asv_000009,LN
ResVar,0.007251,0.001233,asv_000009,LN
GenVar,0.000564,0.000998,asv_000009,LN
hsq,0.072177,0.126811,asv_000009,LN
Pi,0.002103,0.001745,asv_000013,LN
NnzSnp,1574.540649,1306.863403,asv_000013,LN
SigmaSq,7e-06,1.4e-05,asv_000013,LN
S,-0.342507,0.865286,asv_000013,LN
ResVar,0.009044,0.003511,asv_000013,LN
GenVar,0.003717,0.003432,asv_000013,LN
hsq,0.290734,0.26562,asv_000013,LN
Pi,0.062548,0.034723,asv_000031,LN
NnzSnp,46860.890625,26014.460938,asv_000031,LN
SigmaSq,0.000333,0.000252,asv_000031,LN
S,-0.175972,0.357555,asv_000031,LN
ResVar,0.403866,0.174639,asv_000031,LN
GenVar,2.307785,0.208277,asv_000031,LN
hsq,0.850832,0.064763,asv_000031,LN
Pi,0.001402,0.001429,asv_000041,LN
NnzSnp,1049.585571,1069.635986,asv_000041,LN
SigmaSq,1e-06,2e-06,asv_000041,LN
S,0.142006,0.939762,asv_000041,LN
ResVar,0.010822,0.001397,asv_000041,LN
GenVar,0.000392,0.000895,asv_000041,LN
hsq,0.034918,0.079079,asv_000041,LN
Pi,0.001767,0.001685,asv_000049,LN
NnzSnp,1322.508179,1261.533203,asv_000049,LN
SigmaSq,3e-06,4e-06,asv_000049,LN
S,0.071566,0.953579,asv_000049,LN
ResVar,0.018326,0.003186,asv_000049,LN
GenVar,0.001394,0.002588,asv_000049,LN
hsq,0.070895,0.130854,asv_000049,LN
Pi,0.001668,0.001516,asv_000059,LN
NnzSnp,1248.76123,1135.157227,asv_000059,LN
SigmaSq,3e-06,4e-06,asv_000059,LN
S,0.156524,0.872125,asv_000059,LN
ResVar,0.010698,0.00161,asv_000059,LN
GenVar,0.000757,0.001203,asv_000059,LN
hsq,0.066144,0.10419,asv_000059,LN
Pi,0.001385,0.001402,asv_000077,LN
NnzSnp,1036.456543,1049.432861,asv_000077,LN
SigmaSq,3e-06,4e-06,asv_000077,LN
S,0.153111,0.896478,asv_000077,LN
ResVar,0.01088,0.001587,asv_000077,LN
GenVar,0.000623,0.001155,asv_000077,LN
hsq,0.054142,0.099591,asv_000077,LN
Pi,0.0016,0.001444,asv_000095,LN
NnzSnp,1197.448975,1081.656494,asv_000095,LN
SigmaSq,1.1e-05,1.5e-05,asv_000095,LN
S,-0.068207,0.925237,asv_000095,LN
ResVar,0.028869,0.006763,asv_000095,LN
GenVar,0.004222,0.006138,asv_000095,LN
hsq,0.127536,0.184009,asv_000095,LN
Pi,0.003052,0.002436,asv_000112,LN
NnzSnp,2285.935791,1824.327881,asv_000112,LN
SigmaSq,1.7e-05,2.8e-05,asv_000112,LN
S,-0.702972,0.618156,asv_000112,LN
ResVar,0.006764,0.00381,asv_000112,LN
GenVar,0.010777,0.003899,asv_000112,LN
hsq,0.613423,0.215155,asv_000112,LN
Pi,0.002263,0.001906,asv_000155,LN
NnzSnp,1694.263428,1427.425049,asv_000155,LN
SigmaSq,3e-06,5e-06,asv_000155,LN
S,-0.676573,0.772819,asv_000155,LN
ResVar,0.002102,0.001153,asv_000155,LN
GenVar,0.001994,0.001155,asv_000155,LN
hsq,0.48594,0.277366,asv_000155,LN
Pi,0.001741,0.001761,asv_000162,LN
NnzSnp,1303.160034,1318.698975,asv_000162,LN
SigmaSq,5e-06,1.5e-05,asv_000162,LN
S,-0.048306,0.929969,asv_000162,LN
ResVar,0.017934,0.003416,asv_000162,LN
GenVar,0.001976,0.002914,asv_000162,LN
hsq,0.099285,0.145238,asv_000162,LN
Pi,0.004151,0.002266,asv_000183,LN
NnzSnp,3108.747314,1696.350586,asv_000183,LN
SigmaSq,0.000224,0.000241,asv_000183,LN
S,0.438704,0.557265,asv_000183,LN
ResVar,0.017904,0.006299,asv_000183,LN
GenVar,0.041783,0.007271,asv_000183,LN
hsq,0.699019,0.106462,asv_000183,LN
Pi,0.001714,0.001647,asv_000189,LN
NnzSnp,1283.295044,1233.439819,asv_000189,LN
SigmaSq,0,0,asv_000189,LN
S,-0.127535,0.979959,asv_000189,LN
ResVar,0.000303,7e-05,asv_000189,LN
GenVar,4.4e-05,6.4e-05,asv_000189,LN
hsq,0.125973,0.183055,asv_000189,LN
Pi,0.002324,0.001744,asv_000191,LN
NnzSnp,1739.703369,1305.875,asv_000191,LN
SigmaSq,1.5e-05,3.5e-05,asv_000191,LN
S,-0.082143,0.649361,asv_000191,LN
ResVar,0.020114,0.00396,asv_000191,LN
GenVar,0.003616,0.003492,asv_000191,LN
hsq,0.152112,0.14456,asv_000191,LN
Pi,0.002052,0.001902,asv_000196,LN
NnzSnp,1535.803345,1424.550415,asv_000196,LN
SigmaSq,2e-06,3e-06,asv_000196,LN
S,-0.066249,0.782324,asv_000196,LN
ResVar,0.007051,0.001401,asv_000196,LN
GenVar,0.000794,0.001222,asv_000196,LN
hsq,0.101169,0.154076,asv_000196,LN
Pi,0.001084,0.001251,asv_000217,LN
NnzSnp,811.41272,937.344971,asv_000217,LN
SigmaSq,6e-06,6.1e-05,asv_000217,LN
S,-0.858558,1.252616,asv_000217,LN
ResVar,0.01225,0.006342,asv_000217,LN
GenVar,0.006106,0.006258,asv_000217,LN
hsq,0.33201,0.338121,asv_000217,LN
Pi,0.003642,0.002337,asv_000237,LN
NnzSnp,2726.539307,1749.272217,asv_000237,LN
SigmaSq,4e-05,5.4e-05,asv_000237,LN
S,-0.218449,0.587329,asv_000237,LN
ResVar,0.013857,0.006496,asv_000237,LN
GenVar,0.014451,0.006648,asv_000237,LN
hsq,0.508846,0.227543,asv_000237,LN
Pi,0.001544,0.001326,asv_000245,LN
NnzSnp,1156.081177,992.956299,asv_000245,LN
SigmaSq,3e-06,4e-06,asv_000245,LN
S,-0.932931,1.013428,asv_000245,LN
ResVar,0.01014,0.006331,asv_000245,LN
GenVar,0.007914,0.006306,asv_000245,LN
hsq,0.437449,0.346041,asv_000245,LN
Pi,0.001361,0.001404,asv_000246,LN
NnzSnp,1018.750183,1051.097046,asv_000246,LN
SigmaSq,0,0,asv_000246,LN
S,0.006657,0.928684,asv_000246,LN
ResVar,0.001667,0.000267,asv_000246,LN
GenVar,0.00012,0.000213,asv_000246,LN
hsq,0.067049,0.117348,asv_000246,LN
Pi,0.001549,0.001792,asv_000251,LN
NnzSnp,1159.140625,1342.172729,asv_000251,LN
SigmaSq,1e-06,2e-06,asv_000251,LN
S,0.067177,0.835496,asv_000251,LN
ResVar,0.003877,0.000587,asv_000251,LN
GenVar,0.000258,0.000442,asv_000251,LN
hsq,0.062274,0.105955,asv_000251,LN
Pi,0.000316,0.000643,asv_000260,LN
NnzSnp,235.414825,481.382935,asv_000260,LN
SigmaSq,9e-06,2e-05,asv_000260,LN
S,-1.919197,0.68597,asv_000260,LN
ResVar,0.010088,0.005211,asv_000260,LN
GenVar,0.014372,0.005344,asv_000260,LN
hsq,0.586525,0.21148,asv_000260,LN
Pi,0.002205,0.001637,asv_000272,LN
NnzSnp,1651.358032,1225.603638,asv_000272,LN
SigmaSq,4.5e-05,6.5e-05,asv_000272,LN
