Type,value,sd,trait,treatment
SigmaSq,0.000116,0.000136,ULN_BLUP,Ag
S,0.321001,0.973483,ULN_BLUP,Ag
ResVar,0.175539,0.057262,ULN_BLUP,Ag
GenVar,0.190178,0.058547,ULN_BLUP,Ag
hsq,0.519401,0.155073,ULN_BLUP,Ag
Pi,0.061921,0.045262,ED_BLUP,Ag
NnzSnp,21112.013672,15432.832031,ED_BLUP,Ag
SigmaSq,0.001893,0.003328,ED_BLUP,Ag
S,-0.357105,0.461658,ED_BLUP,Ag
ResVar,1.955411,0.707889,ED_BLUP,Ag
GenVar,9.309741,0.827097,ED_BLUP,Ag
hsq,0.826252,0.06291,ED_BLUP,Ag
Pi,0.06752,0.055577,EL_BLUP,Ag
NnzSnp,23021.060547,18949.34375,EL_BLUP,Ag
SigmaSq,0.000817,0.000748,EL_BLUP,Ag
S,-0.296026,0.503638,EL_BLUP,Ag
ResVar,0.817812,0.31238,EL_BLUP,Ag
GenVar,4.493539,0.36854,EL_BLUP,Ag
hsq,0.845868,0.058993,EL_BLUP,Ag
Pi,0.081162,0.043118,EW_BLUP,Ag
NnzSnp,27671.056641,14700.141602,EW_BLUP,Ag
SigmaSq,0.050036,0.041994,EW_BLUP,Ag
S,0.186331,0.668805,EW_BLUP,Ag
ResVar,115.362228,33.590816,EW_BLUP,Ag
GenVar,228.759247,36.894905,EW_BLUP,Ag
hsq,0.664221,0.097699,EW_BLUP,Ag
Pi,0.077386,0.036047,KRN_BLUP,Ag
NnzSnp,26381.671875,12288.831055,KRN_BLUP,Ag
SigmaSq,0.000397,0.000321,KRN_BLUP,Ag
S,0.067514,0.486585,KRN_BLUP,Ag
ResVar,0.575055,0.227067,KRN_BLUP,Ag
GenVar,1.777975,0.246994,KRN_BLUP,Ag
hsq,0.755304,0.096467,KRN_BLUP,Ag
Pi,0.002699,0.002704,asv_000001,HN
NnzSnp,2020.992798,2025.734985,asv_000001,HN
SigmaSq,6e-06,1.1e-05,asv_000001,HN
S,-1.209712,0.592319,asv_000001,HN
ResVar,0.005663,0.00329,asv_000001,HN
GenVar,0.009785,0.003376,asv_000001,HN
hsq,0.632469,0.211866,asv_000001,HN
Pi,0.001888,0.001883,asv_000009,HN
NnzSnp,1413.575317,1410.058228,asv_000009,HN
SigmaSq,2e-06,2e-06,asv_000009,HN
S,0.071325,0.850684,asv_000009,HN
ResVar,0.012518,0.0017,asv_000009,HN
GenVar,0.000676,0.001185,asv_000009,HN
hsq,0.05125,0.089204,asv_000009,HN
Pi,0.004646,0.003705,asv_000013,HN
NnzSnp,3479.587891,2774.701172,asv_000013,HN
SigmaSq,9e-06,1.8e-05,asv_000013,HN
S,-0.146962,0.670434,asv_000013,HN
ResVar,0.007151,0.002797,asv_000013,HN
GenVar,0.003536,0.00274,asv_000013,HN
hsq,0.330454,0.252768,asv_000013,HN
Pi,0.002172,0.002157,asv_000031,HN
NnzSnp,1626.231812,1615.836182,asv_000031,HN
SigmaSq,6e-06,7e-06,asv_000031,HN
S,-0.047321,0.976497,asv_000031,HN
ResVar,0.019132,0.004955,asv_000031,HN
GenVar,0.003183,0.0046,asv_000031,HN
hsq,0.142525,0.204748,asv_000031,HN
Pi,0.001938,0.001924,asv_000041,HN
NnzSnp,1451.091187,1440.885742,asv_000041,HN
SigmaSq,1e-06,1e-06,asv_000041,HN
S,-0.098359,0.838905,asv_000041,HN
ResVar,0.003084,0.000538,asv_000041,HN
GenVar,0.000277,0.000448,asv_000041,HN
hsq,0.082301,0.131821,asv_000041,HN
Pi,0.002349,0.002033,asv_000059,HN
NnzSnp,1758.883179,1523.18689,asv_000059,HN
SigmaSq,2e-06,5e-06,asv_000059,HN
S,0.156341,0.799089,asv_000059,HN
ResVar,0.006637,0.000979,asv_000059,HN
GenVar,0.000559,0.000741,asv_000059,HN
hsq,0.077636,0.10147,asv_000059,HN
Pi,0.003431,0.002782,asv_000077,HN
