sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
10743 70.2 78.2 2.43 147.94 32.92 10.86 74.02 185.32 72.33 38.62 16.68 33.88 5.87 17.3 23.47
10744 69.02 76.11 1.55 123.68 52.46 7.96 59.15 149.8 66.26 44.09 7.12 30.63 4.26 15 18.81
10745 -999 -999 -999 160.57 18.45 7.65 67.77 163.75 62.71 38.01 11.54 32.1 -999 -999 -999
10746 66 73.56 1.4 158.23 25.27 9.9 64.94 188.95 88.58 46.58 13.71 30.03 4.68 17 22.08
10747 70.87 78.2 1.7 165.4 20.54 9.44 74.76 237.39 99.35 41.57 6.75 32.76 5.35 18.8 20.11
10748 68.62 74.26 1.7 148.59 33.25 10.46 70.94 206.71 78.67 37.76 10.2 40.03 4.8 17.3 22.34
10749 69.83 76.14 1.61 150.69 32 9.31 75.94 219.97 64.75 29.27 5.61 32.26 6.04 16 22.45
10750 57.61 61.69 1.41 137.4 42.89 9.45 58.1 194.11 44.11 24.87 5.97 23.31 5.08 14 18.15
10751 69.11 80.29 1.99 170.16 13.94 9.11 77.01 178.27 61.63 34.66 9.97 36 4.51 16 20.54
10752 72.28 -999 -999 159.28 21.52 9.86 75.56 209.11 83.77 40.24 10.74 33.26 5.24 17 22.53
10754 69.55 76.35 1.32 172.83 12.14 7.91 80.23 187.94 60.45 32.08 11.29 32.8 5.73 16.5 19.03
10755 68.57 74.02 0.82 130.92 51.49 10.32 69.35 202.45 92.52 44.93 12.04 30.96 6.19 18.7 18.54
10756 74.6 82.38 0.96 148.07 30.49 7.88 58 159 98.27 -999 19.65 26.88 4.11 19 18.22
10757 70.6 76.81 1.55 126.51 50.99 8.77 66.45 212.2 78.6 36.7 9.02 32.23 6.95 19.3 18.68
10758 74.17 83.77 0.82 162.27 20.35 9.58 63.93 188.05 83.02 44.07 15.98 25.19 5.55 17.3 22.6
10759 65.71 71.23 1.32 161.97 22.39 9 57.83 167.93 68.98 41.25 21.54 26.49 4.57 15 -999
10760 65.74 71.01 1.84 155.93 29.56 8.41 78.62 195.8 56.37 28.45 13.96 32.55 5.32 14.8 20.99
