sampleID DTA_BLUP DTS_BLUP ASI_BLUP LAL_BLUP LAU_BLUP LW_BLUP LL_BLUP PH_BLUP EH_BLUP EP_BLUP TBN_BLUP TL_BLUP ULN_BLUP TLN_HN2016 SD_LF2016
8405 67.06 76.58 1.99 150.7 28.67 7.15 74.66 190.29 75.48 39.29 15.21 30.58 6.16 18 19.33
8406 66.16 -999 -999 152.34 29.35 9.05 68.77 202.9 72.02 35.36 9.38 27.31 6.01 16.2 -999
8407 72.15 79.99 1.87 163.97 16.37 8.75 84.11 245.87 106.84 42.9 10.04 37.51 4.74 16 18.58
8408 69.46 77.27 1.7 150.13 34.56 9.06 77.29 -999 103.15 37.6 9.07 35.82 6.04 17.5 21.14
8409 65.18 77.97 4.34 152.1 33 8.03 79.02 234.53 83.12 34.88 13.13 38.21 5.37 15.6 21.39
8410 66.13 72.63 2.28 153.51 31.79 8.45 76.92 198.7 64.19 32.26 8.32 35.75 5.03 15 20.88
8411 72.31 79.59 1.11 161.55 19.55 10.23 72.85 207.13 94.06 44.63 18.16 33 5.4 16.8 20.02
8412 64.21 71.7 2.28 147.46 34.26 10.71 74.5 193.53 65.62 33.82 12.33 32.55 5.89 17 24.67
8413 60.24 65.67 1.99 149.72 31.36 8.73 64.39 171.75 61.64 36.04 12.07 24.64 5.09 15.5 16.79
8414 67.91 73.79 1.26 150.11 34.33 8.86 72.77 193.38 72.5 37.53 11.33 35.29 5.67 15.6 22.22
8416 65.51 74.72 4.19 141.65 38.34 9.34 72.79 206.49 52.45 25.25 9.1 33.77 6.31 16.2 22.17
8417 58.87 66.83 3.31 133.25 45.85 8.04 63.58 154.8 50.23 32.78 16.95 22.32 5.72 14.4 19.07
8418 62.08 71.47 2.58 134.68 54.4 8.7 65.25 186.17 71.58 38.71 18.21 30.84 4.73 14.6 18.03
8419 59.77 65.44 1.11 121.85 56.02 7.41 67.34 160.02 60.68 38.3 8.72 30.3 4.87 14.3 17.96
8420 64.54 69.38 1.55 111.08 67.32 9.28 73.8 196.12 76.84 39.12 16.5 39.82 4.88 16.5 26.17
8421 60.64 66.69 1.38 163.22 23.77 8.12 70.17 179.92 56.91 32.31 15.6 29.48 5.37 15 15.62
8422 63.1 67.76 1.55 141.6 42.8 8.04 66.4 195.26 84.66 43.5 14.73 28.34 5.3 16.5 18.56
8423 70.61 -999 -999 143.69 30.53 9.05 80.02 200.54 68.46 33.79 12.71 30.21 6.34 19.5 -999
8424 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
8425 70.58 -999 -999 131.52 48.14 7.7 66.18 202.02 80.89 39.28 20.35 34.99 4.87 14.8 19.53
8426 73.31 77.45 0.75 157.78 25.26 8.28 85.92 217.02 92.91 42.79 9.46 38.58 5.82 19.2 24.89
8427 69.87 -999 -999 148.4 35.01 8.97 84.04 233.54 92 39.88 20.91 39.8 6.12 19 -999
8428 70.54 78.2 2.28 139.92 43.53 8.72 73.29 211.9 80.84 37.92 9.98 28.67 6.09 18.6 21.67
8429 68.31 75.18 0.38 143.28 38.95 8.5 73.52 178.21 62.14 35.15 20.09 30.02 5.89 17.3 21.98
8430 60.59 66.36 1.7 140.16 40.94 8.07 69.83 170.79 56.96 33.84 4.89 26.06 5.3 14.8 16.96
8432 72.41 80.76 2.58 153.96 32.29 9.55 71.28 206.86 70.03 33.85 19.97 28.79 5.87 19.2 20.09
8433 71.21 78.28 0.77 160.21 24.75 8.1 78.29 241.8 88.79 36.67 12.13 36.72 5.62 17.4 21.26
8434 77 88.18 3.31 156.59 28.07 9.38 62.07 178.63 69.3 39.1 10.75 28.65 6.03 20.4 20.87
8435 66.47 75.42 0.96 156.57 26.4 11.7 68.28 186.56 71.57 38.34 5.64 30.38 5.17 14.7 22.18
8436 64.63 74.72 3.75 151.95 29.67 10.61 76.21 199.77 68.48 34.09 15.86 34.7 6.03 16.9 -999
8437 68.84 75.18 0.96 168.28 17.94 9.83 75.78 196.01 72.46 36.83 10.7 29.35 5.15 15.7 -999
8438 65.53 73.79 1.7 144.89 41.56 9.54 71.53 208.25 69.37 33.2 13.19 36.61 5.42 16.6 21.82
8439 66.98 71.7 0.67 168.4 19.59 9.76 66.72 182.34 64.18 35.26 5.5 26.57 5.64 16.5 22
8441 60.32 70.08 2.87 152.68 33.48 7.61 54.81 182.41 70.36 38.29 5.18 30.43 5.77 14.7 21.79
8442 62.24 71.01 3.75 152.68 30.01 9.4 68.72 151.97 43.96 28.77 8.9 31.84 6.41 15.8 -999
8443 64.62 -999 -999 160.58 26.37 10.03 66.74 157.81 63.13 40.2 12.74 28.84 5.09 16 22.22
8444 70.58 76.35 0.71 171.39 16.08 9.07 68.33 147.11 62.27 42.7 12.05 23.9 4.74 16.3 -999
8445 70.34 75.65 0.52 166.35 18.86 8.56 71.14 206.15 77.2 36.75 6.53 25.43 5.78 17.7 -999
8446 70.18 78.2 1.11 148.1 31.74 9.56 74.27 188.61 85.59 45.06 16.61 39.46 4.59 15.3 18.71
8447 70.29 77.27 1.4 147.89 33.34 9.33 69.25 190.98 81.27 42.08 12.25 30.99 5.05 17 20.47
8448 70.86 80.76 2.87 167.08 14.67 10.73 66 208.31 92.99 43.39 11.06 38.37 4.6 17.8 25.27
8449 68.93 77.74 1.94 158.45 21.39 8.59 79.56 193.73 73.64 37.25 9.16 33.73 4.74 14.7 23.26
8450 70.19 76.58 1.26 155.4 26.45 8.13 75.56 203.59 79.87 39.05 6.58 33.1 5.05 17 21.34
8451 73.85 82.61 2.28 153.79 24.82 9.68 73.95 195.48 95.63 48.48 24.59 30.66 5.5 18 26.5
8452 64.25 71.94 1.7 152.15 32.6 9.12 63.45 189.19 55.99 29.69 5.04 33.74 6.04 17 20.69
8453 67.52 74.49 2.14 149.83 33.62 10.3 70.39 187.45 66.51 34.71 8.79 34.19 5.45 15.7 23.06
8454 72.33 77.04 -0.21 151.22 34.98 10.02 66.48 188.7 86.76 45.39 9.37 30.31 5.1 18.3 25.99
8455 67.77 75.65 1.84 163.72 21.77 8.9 78.4 234.26 80.36 33.93 7.08 37.41 5.72 16 22.95
8456 62.06 -999 -999 148.08 32.05 9.02 63.53 188.72 65.69 34.56 12.56 32.25 5.24 16 18.46
8457 74.18 85.17 1.11 151.8 31.03 10.22 78.65 204 95.23 45.69 24.1 31.79 5.56 17.3 26.27
8458 65.9 74.95 2.28 155.23 29.38 9.4 76.51 194.04 70.76 36.46 9.5 34.22 5.05 16 26.15
8459 66.3 76.35 1.4 157.9 26.85 9.8 72.63 186.4 65.44 35 26.86 32.89 5.5 16 22.31
8460 67.23 74.72 1.55 169.64 18.7 9.42 64.69 185.39 64.7 34.97 6.89 26.99 5.69 16.5 -999
8461 70.15 -999 -999 151.74 30.47 9.44 70.11 181.95 59.76 32.52 7.05 26.15 5.24 16 17.84
8462 68.75 79.59 3.31 166.09 14.06 8.71 65.88 186.83 74.9 40.17 18.21 25.87 4.91 17.7 19.53
8463 76.72 87.02 2.28 158.02 23.43 8.38 77.19 241.89 115.79 46.85 13.44 30.71 5.47 18.7 -999
8464 60.7 66.6 1.4 145.1 35.86 9.93 66.29 166.18 48.33 29.37 6.46 31.96 4.93 13.8 20.96
8465 63.35 70.08 0.82 129.62 55.8 9.99 67.74 196.13 71.26 36.43 11.63 34.36 5.25 15 22
8466 66.21 74.95 2.14 171.41 14.83 9.08 70.52 173.39 55.03 31.63 9.77 32.91 6.6 16.5 26.22
8467 72.97 83.79 1.53 167.24 19.02 10.2 67.65 171.59 63.89 39.05 7.52 26.44 4.09 14.3 21.07
8468 70.14 79.83 2.28 164.03 19.47 9.66 74.38 201.26 75.78 37.83 11.73 28.09 5.79 15 25.72
8469 71.92 80.12 1.8 170.66 12.39 10.53 72.1 154.31 64.66 42.57 13.55 28.38 5.67 19 -999
8470 62.8 69.85 2.43 146.12 33.59 8.01 68.19 160.96 56.09 35.24 5.59 36.22 4.43 13 -999
8471 67.52 76.35 0.96 159.98 24.01 9.18 66.15 176.94 71.34 39.89 6.99 29.53 5.47 15 -999
8473 68.97 -999 -999 152.46 29.01 8.25 65.9 172.2 64.31 36.44 8.73 30.82 4.8 14.8 18.63
8474 68.65 75.18 1.11 148.94 37.06 9.41 77.83 227.12 97.57 42.8 12.29 31.61 5.22 15.8 17.49
8475 68.35 75.42 0.96 158.49 24.24 9.31 71.72 226.34 79.8 34.81 5.13 32.04 5.96 17 19.8
8476 66.82 74.95 0.82 164.53 21.2 10.46 78.61 235.47 90.85 38.16 13.73 37.56 5.92 15.8 22.82
8477 70.52 78.2 1.26 167.09 20.27 9.56 76.29 247.79 103.05 40.61 6.96 25.78 5.12 16 20.39
8478 70.71 77.04 0.52 138.08 48.74 9.81 71.39 176.39 68.66 39.11 9.81 29.57 5.92 15.7 19.96
8479 68.69 75.88 1.11 170.09 15.92 10.31 73.15 190.3 73.8 38.52 17.43 30.27 5.93 17.3 -999
8480 68.03 78.2 2.87 143.4 38.98 10.54 78.17 213.8 86.97 40.39 18.59 33.53 6.06 18 20.69
8481 66.39 77.51 4.92 159.94 27.87 9.46 70.6 181.91 61.03 33.66 14.7 29.88 6.09 17 21.73
8482 65.8 72.86 2.28 160.75 20.66 10.01 67.89 192.06 69.92 36.31 14.13 33.83 5.66 17 18.38
8483 66.47 72.86 2.14 134.33 44.43 7.99 71.41 201.14 78.22 38.82 9.09 32 5.77 18 18.68
8484 61.39 69.15 2.58 152.01 32.55 9.36 60.38 160.69 29.28 17.69 4.8 31.32 6.06 12.7 16.56
8485 69.92 76.81 1.4 163.35 22.98 8.93 77.68 218.38 90.94 41.42 8.84 31.44 5.46 17.3 19.11
8486 66.61 71.24 1.11 148.81 30.93 9.16 66.12 169.26 55.41 32.88 9.54 31.45 5.73 17.5 18.03
8487 72.38 79.45 -0.46 159.45 25.66 9.61 74.22 223.18 84.01 36.87 5.58 40.42 6.27 17.7 21.65
8489 67.42 72.4 0.96 138.25 45.18 9.71 65.97 183.19 71.01 37.86 7.45 31.93 5.15 14.3 20.47
8491 66.53 71.01 0.82 153.91 28.5 9.21 73.68 216.6 73.56 33.21 18.68 31.77 6.16 16.3 21.46
8492 67.57 74.95 2.43 152.78 24.95 7.91 65.63 175.05 58.73 32.61 7.42 25.73 7.68 18.5 16.63
8494 64.72 71.24 1.4 148.23 35.38 8.05 55.93 156.98 51.62 32.69 6.63 26.68 4.96 13.7 19.79
8500 65.37 71.94 1.7 149.36 30.55 7.17 73.79 171.86 62.22 36.34 5.95 25.56 5.3 17 16.7
8501 64.58 71.01 2.43 167.92 12.61 6.5 74.45 215.31 73.67 34.01 13.08 30.12 6.09 17.8 16.81
8502 72.8 79.59 1.11 168.2 15.39 9.94 76.13 212.8 59.81 27.9 1.49 27.54 8.16 19 20.26
8504 63.35 70.77 2.28 145.82 35.37 7.45 69.7 198.27 74.36 37.88 7.73 29.89 5.98 16.5 18.14
8506 61.24 66.36 1.26 153.62 27.66 7.98 76.22 191.63 69.35 36.31 11.21 34.39 5.57 16.6 19.47
8507 69.33 83.31 -999 148.96 34.72 9.47 68.35 213.69 80.58 37.24 7.66 39.25 5.5 16.2 22.38
8508 68.39 74.26 2.14 149.01 37.05 8.91 70.09 169.47 58.65 35.27 6.21 25.39 4.4 14.5 17.07
8518 58.57 64.51 1.84 150.29 34.74 8.3 64.72 197.73 65.79 33.38 7.21 36.82 5 15 18.6
8520 71.76 78.67 1.26 152.93 30.48 8.13 72.51 206.8 78.48 37.7 8.4 31.71 5.45 17.3 24.47
8524 70.15 -999 -999 147.81 34.12 9.61 67.18 160.59 51.71 31.18 9.64 31.49 5.02 14.7 23.8
8527 73.06 80.06 0.52 157.77 20.88 9.53 88.55 248.58 84.54 33.93 16.17 32.83 7.52 21.3 26.32
8529 65.24 72.4 2.28 147.74 31.56 7.85 73.19 179.42 62.35 34.81 8.35 37.7 6.01 17 20.19
8530 67.63 74.72 1.32 159.66 24.8 8.8 66.45 203.71 80.53 39.28 2.7 36.15 4.83 16.5 19.32
8532 68.51 76.58 2.43 153.09 29.52 8.37 78.21 199.24 59.75 29.71 11.22 33.45 5.33 16.5 18.85
8536 65.92 70.77 0.67 146.46 31 7.8 67.6 175.16 70.96 40.37 7.43 25.31 5.5 18.2 21.09
8537 67.37 72.86 1.11 145.55 25.32 8.42 69.92 196.21 66.29 33.7 6.92 28.38 6.35 16 18.53
8538 66.27 75.65 3.46 154.72 24.29 11.14 72.78 225.44 75.72 32.66 4.85 37.67 5.14 15 20.53
8539 67.66 73.1 1.84 146.1 39.26 8.81 75.72 196.36 68.86 34.93 6.62 31.89 5.54 17 18.46
8540 67.58 71.47 0.38 152.6 29.36 8.11 75 215.11 84.13 39.1 5.71 31.26 4.57 16.3 19.33
8542 61.79 70.08 3.31 147.73 35.04 9.21 69.49 191.4 56.59 29.55 5.31 38.15 5.84 15.2 18.43
8543 63.77 69.85 1.84 153.99 27.37 8.76 68.56 197.55 57.71 29.02 5.97 32.45 5.84 15 19.89
8544 62.15 67.06 1.84 147.36 35.18 8.29 68.12 171.17 66.91 39.75 7.96 32.42 5.05 16 21.19
8546 68.24 72.63 0.82 150.66 33.43 8.57 68.69 206.01 79.11 38.06 6.7 31.99 5.89 18.2 19.45
8548 69.34 75.65 1.4 154.7 31.19 9.16 72.34 219.51 79.95 36.2 6.18 38.24 5.8 17.5 21.86
8549 61.26 66.13 1.7 141.05 45.25 9.3 73.94 172.06 52.01 30.35 11.61 31.04 5.82 16.3 22.41
8550 70.5 77.27 2.28 152.1 31.43 9.61 69.11 191.33 58.48 30.22 1.76 26.44 6.63 15.7 19.54
8552 65.38 70.54 0.96 157.99 19.59 7.98 74.57 196.9 63.38 32.01 6.97 29.61 6.24 16 20.18
8554 72.7 77.97 0.96 159.33 22.55 9.03 80.6 200.6 69.76 34.61 13.31 28.88 4.94 17 27.18
8555 63.2 68.22 1.26 133.14 51.6 9.12 67.48 171.05 61.38 36 5 31.11 5.2 15.5 19.06
8556 60.19 67.06 1.99 153.03 30.19 7.5 67.36 168.3 58.43 34.85 9.95 34.03 4.69 14.5 18.49
8557 69.8 76.58 1.26 153.76 25.96 9.59 74.43 219.95 74.33 33.62 3.75 32.64 5.31 15.7 20.33
8560 62.31 67.06 0.82 145.67 33.41 7.55 63.67 177.24 55.67 31.7 6.69 25.08 5.46 15.3 18.16
8561 63.58 68.69 0.67 141.41 46.08 7.42 63.1 211.7 97.01 45.66 10.4 28.87 5.06 17.8 22.95
8562 67.82 76.35 1.55 163.01 24.37 8.29 76.65 197.73 63.97 31.98 7.3 32.4 5.69 16.6 25.99
8564 67.92 72.86 1.11 157.07 20.63 8.66 70.7 176.4 52.67 29.52 8.03 31.1 6.08 17.3 22.69
8565 60.74 66.6 1.4 149.14 37.25 8.31 64.84 186.17 64.04 34.24 7.64 25.73 6.09 15.3 22.4
8567 69.94 74.95 0.82 144.14 39.98 8.23 67.01 196.95 86.88 43.49 6.67 33.21 4.88 17.4 18.42
8569 60.37 65.2 1.11 134.44 46.34 7.02 62.53 176.37 54.48 30.67 6.92 30.03 4.88 13.4 17.61
8570 61.92 67.53 1.11 140.24 41.84 7.92 78.27 189.11 63.9 33.47 6.31 29.14 5.25 15 17.55
8573 69.73 -999 -999 158.51 21.47 9.02 75.28 190.85 61.14 31.02 3.81 35.07 5.97 16 24.83
8574 65.58 70.77 0.82 159.91 21.26 8.91 75.61 199.63 64.88 32.13 7.98 35.63 5.9 16.3 20.84
8577 73.59 80.52 1.26 152.59 31.57 9.06 78.28 221.14 77.76 33.92 6.58 -999 5.3 16.5 20.73
8578 62.82 69.61 2.14 152.56 29.9 9.21 73.71 199.01 57.28 28.59 3.82 33.13 6.17 16 23.23
8580 65.59 77.74 2.87 157.11 23.9 8.66 73.49 187.91 58.59 30.74 5.82 29.42 5.2 15 24.92
8581 60.91 66.6 1.55 145.14 36.38 7.62 64.34 165.78 50.19 30.49 8.73 28.65 5.3 14.3 19.79
8583 59.42 67.06 2.72 142.12 37.56 7.47 54.86 151.18 50.32 33.91 3.83 27.9 4.46 15 16.18
C7-2 69.99 77.74 1.11 164.2 18.28 9.77 70.39 193.09 83.49 42.88 21.18 28.49 4.74 18 19.05
Mo17 65.08 74.95 3.46 145.33 33.65 8.91 69.57 210.6 70.17 33.08 6.3 38.51 5.28 14.3 19.03
Ye478 73.21 82.15 1.4 169 19.1 9.8 75.78 195.6 72.61 37.1 18.65 28.92 5.51 17 -999
Z58 67.06 74.26 1.26 171.01 13.19 8.66 78.28 165.55 51.14 31.14 5.79 31.02 5.24 15.7 17.64
